"","School","Year","Total Applicants","Tuition and Fees","Avg Faculty Salary"
"269","San Diego State University",2016,60834,6976,92146
"270","San Jose State University",2016,31555,7378,90748
"271","University of Southern California",2016,54280,50210,125227
"272","University of Colorado Boulder",2016,34047,11091,99991
"273","Colorado State University-Fort Collins",2016,21759,10590,86356
"274","United States Air Force Academy",2016,9894,NA,78974
"275","University of Connecticut",2016,35980,13366,109238
"276","University of Central Florida",2016,34886,6368,85516
"277","Florida Atlantic University",2016,15907,4831,82710
"278","Florida International University",2016,21809,6556,90981
"279","Florida State University",2016,29027,6507,97443
"280","University of Florida",2016,30118,6381,102592
"281","University of Miami",2016,32528,45724,108554
"282","University of South Florida",2016,28628,6410,86092
"283","Georgia Institute of Technology-Main Campus",2016,30528,12204,110397
"284","Georgia Southern University",2016,9834,6273,60505
"285","University of Georgia",2016,22694,11622,98438
"286","University of Hawaii at Manoa",2016,7409,11164,103865
"287","Boise State University",2016,8330,6876,67471
"288","University of Illinois Urbana-Champaign",2016,38093,15054,107091
"289","Northern Illinois University",2016,14980,14295,71791
"290","Northwestern University",2016,35100,49047,144604
"291","Ball State University",2016,24735,9498,65991
"292","Indiana University-Bloomington",2016,34646,10388,91632
"293","University of Notre Dame",2016,19505,47929,124246
"294","Iowa State University",2016,19433,7736,97383
"295","University of Iowa",2016,28494,8104,97424
"296","University of Kansas",2016,15015,10825,90789
"297","Kansas State University",2016,9213,9350,77875
"298","Pittsburg State University",2016,2503,6508,63795
"299","University of Kentucky",2016,20480,10936,92381
"300","University of Louisville",2016,10404,10744,79643
"301","Western Kentucky University",2016,9693,9482,64439
"302","Louisiana State University and Agricultural & Mechanical College",2016,18122,9842,85796
"303","Louisiana Tech University",2016,7227,8854,65256
"304","University of Louisiana at Monroe",2016,4563,7658,64734
"305","University of Louisiana at Lafayette",2016,11633,8256,74682
"306","Tulane University of Louisiana",2016,32006,49638,102808
"307","University of Maryland-College Park",2016,30291,9996,115676
"308","United States Naval Academy",2016,17043,NA,100989
"309","Boston College",2016,28956,49324,131571
"310","University of Massachusetts-Amherst",2016,40822,14171,110973
"311","Central Michigan University",2016,19160,11850,78943
"312","Eastern Michigan University",2016,14796,11209,84499
"313","University of Michigan-Ann Arbor",2016,55504,13856,103605
"314","Michigan State University",2016,37480,13560,103699
"315","Western Michigan University",2016,13613,11535,87446
"316","University of Minnesota-Duluth",2016,7976,13082,73411
"317","University of Mississippi",2016,17918,7444,80751
"318","Mississippi State University",2016,14012,7502,75227
"319","University of Southern Mississippi",2016,5180,7334,67821
"320","University of Missouri-Columbia",2016,21107,9509,83236
"321","University of Nebraska-Lincoln",2016,11193,8367,92816
"322","University of Nevada-Las Vegas",2016,8533,6943,91562
"323","University of Nevada-Reno",2016,9644,6902,88410
"324","Rutgers University-New Brunswick",2016,36677,14131,105693
"325","University of New Mexico-Main Campus",2016,15582,7071,80106
"326","New Mexico State University-Main Campus",2016,7618,6094,76717
"327","University at Buffalo",2016,26001,9381,92257
"328","Syracuse University",2016,30923,43318,101888
"329","United States Military Academy",2016,14829,NA,85651
"330","Appalachian State University",2016,13202,6852,74487
"331","Duke University",2016,31671,49241,138325
"332","East Carolina University",2016,17099,6580,77246
"333","University of North Carolina at Chapel Hill",2016,34889,8591,111387
"334","North Carolina State University at Raleigh",2016,26451,8581,96631
"335","Wake Forest University",2016,14006,47682,104194
"336","University of Akron Main Campus",2016,13911,10509,84523
"337","Bowling Green State University-Main Campus",2016,15291,10796,76932
"338","University of Cincinnati-Main Campus",2016,19370,11000,87587
"339","Kent State University at Kent",2016,16145,10012,79477
"340","Miami University-Oxford",2016,29771,14287,81801
